"Participant","Age","Gender","Lote","Proficiency","Age_Englsh","Age_Lote","Item.number","Type","Value","Lexicalization","Bias","Order","Group","Context"
1,19,"Female",NA,"Not applicable.",NA,NA,10,"experiment",99,100.5,"Good","Filler","B","Manuel and his daughter Violet went out for dinner.  Manuel encourages his family not to eat meat."
1,19,"Female",NA,"Not applicable.",NA,NA,11,"experiment",11,1,"Res","VPO","B","Maria was playing ball on the sidewalk.  She tripped and fell down%2C and then got back up.  At that moment%2C though%2C her brother%2C Alex%2C came jogging around the corner."
1,19,"Female",NA,"Not applicable.",NA,NA,57,"experiment",0,24,"Res","U","B","Sam and Alex decided to celebrate their anniversary with a bottle of wine and a picnic in the park.  Sam uncorked the bottle and served the wine.    When it was time to go%2C there was still wine in the bottle%2C which Sam decided to take home."
1,19,"Female",NA,"Not applicable.",NA,NA,16,"experiment",99,102,"Bad","Filler","B","Reggie's pet parrot died.  It was a beautiful bird%2C but died young."
1,19,"Female",NA,"Not applicable.",NA,NA,30,"experiment",98,105.5,"Good","Filler","B","Doug and his friends believed that it was Marvin who had told the teacher that they cheated on the test.  Later they found out that Marvin hadn't done it."
1,19,"Female",NA,"Not applicable.",NA,NA,31,"experiment",58,11,"Rep","VOP","B","Doug took his canoe out for a trip around his favorite lake.   Along the way%2C he came across an injured duck floating in the water%2C and decided to take it to the park ranger station.  He lifted it in the canoe.  The duck%2C dazed and injured%2C stumbled on the edge of the canoe and then fell back into the water.  Doug maneuvered  the canoe around to where the duck lay in the water."
1,19,"Female",NA,"Not applicable.",NA,NA,32,"experiment",76,106,"Bad","Filler","B","When she turned 14%2C Gwen began listening to rap and has loved it ever since."
1,19,"Female",NA,"Not applicable.",NA,NA,33,"experiment",0,12,"Res","U","B","Martha bought a jar of Nutella.  That afternoon%2C her brother opened it and ate half the jar%2C leaving the lid on the counter.  Martha was furious."
1,19,"Female",NA,"Not applicable.",NA,NA,34,"experiment",99,106.5,"Good","Filler","B","Chemistry was easy for Jenna who usually got good grades without studying.  On her last quiz%2C however%2C Jenna struggled and received a D."
1,19,"Female",NA,"Not applicable.",NA,NA,40,"experiment",99,108,"Bad","Filler","B","Sally%2C a high school student%2C was applying for a summer internship. She asked all of her teachers to write her a recommendation letter.  Some said they would love to%2C but others refused."
1,19,"Female",NA,"Not applicable.",NA,NA,50,"experiment",99,110.5,"Good","Filler","B","When they were little%2C Sam and his brother thought that Burger King was a real person."
1,19,"Female",NA,"Not applicable.",NA,NA,38,"experiment",99,107.5,"Good","Filler","B","Sarah's surgery was scheduled for noon on Friday. The doctor told her not to eat on the day of the surgery.  Sarah did as he asked and didn't eat anything."
1,19,"Female",NA,"Not applicable.",NA,NA,39,"experiment",0,15,"Rep","U","B","Dr. Arroyo had just put the final touches on her new creation%2C a supercomputer.  The next day%2C in a ceremony at her lab%2C Dr Arroyo walked up to the computer and turned it on for the first time.  That night%2C however%2C the computer glitched and shut down.  Dr. Arroyo came to her lab the next morning and fixed the problem."
1,19,"Female",NA,"Not applicable.",NA,NA,44,"experiment",93,109,"Bad","Filler","B","Lenny was excited to watch the basketball championship game and invited his friends over.  Everyone had work to do%2C though%2C and none of his friends could make it."
1,19,"Female",NA,"Not applicable.",NA,NA,27,"experiment",0,9,"Rep","U","B","One day%2C a stray cat Gloria had never seen before began meowing outside her door. Gloria opened the door and brought it in.  Gloria's dad soon decided that he didn't like the cat and sent it outside.  The next morning%2C Gloria discovered the cat back on their doorstep."
1,19,"Female",NA,"Not applicable.",NA,NA,28,"experiment",28,105,"Bad","Filler","B","Professor Kaur offered an extra help session every Wednesday at 4:00.  During the whole semester%2C not a single student ever showed up."
1,19,"Female",NA,"Not applicable.",NA,NA,29,"experiment",33,10,"Rep","VPO","B","Mandy bought a brand new bicycle.  She also bought a bell for the handlebar%2C and put it on herself. One day%2C she parked her bike at the grocery store and went in to shop.  When she emerged%2C she found the bell on the ground next to her bike.  Someone had knocked it off.  Mandy rode home and got out her tools."
1,19,"Female",NA,"Not applicable.",NA,NA,52,"experiment",99,111,"Bad","Filler","B","Becky was an all star at calculus--the top student that all the other students came to for help. Fortunately for all the students%2C the midterm was much easier than everyone expected."
1,19,"Female",NA,"Not applicable.",NA,NA,45,"experiment",0,18,"Res","U","B","It was the first day of fall exam week at Kennedy High School.  Principal Chen printed a sign  asking students to please be as quiet as possible in the halls.  One of the teachers taped it up on the front door.  As he left for lunch that day%2C he found the sign ripped down%2C lying on the front steps."
1,19,"Female",NA,"Not applicable.",NA,NA,46,"experiment",99,109.5,"Good","Filler","B","Liam and his friend Nate each have two older sisters.  Liam's sisters are nice and get along well with each other and with Liam."
1,19,"Female",NA,"Not applicable.",NA,NA,47,"experiment",25,19,"Res","VPO","B","In a tree in Dashaun's backyard%2C a pair of robins built a nest and the mother soon laid an egg.  The egg hatched and Dashaun watched the baby robin  grow. One day%2C when the parents were away from the nest%2C the baby bird fell out of the nest.  Dashaun got a ladder from the garage."
1,19,"Female",NA,"Not applicable.",NA,NA,43,"experiment",45,17,"Rep","VOP","B","While Charlotte was fishing with her dad%2C she caught a plump%2C 11-inch bass. She carried the fish over to a bucket on the dock and put it in.  Suddenly the fish jumped out of the bucket%2C landing on the dock.  Charlotte picked it up and walked back over to the bucket."
1,19,"Female",NA,"Not applicable.",NA,NA,53,"experiment",25,22,"Rep","VPO","B","Denise%2C a pre-school teacher%2C was supervising children playing in the schoolyard.  Four-year-old Raquel tripped%2C fell down and began crying. Denise ran to her and picked her up.  Not two minutes later%2C Raquel was knocked over by a bigger boy and began crying again.  Denise went back over to her."
1,19,"Female",NA,"Not applicable.",NA,NA,41,"experiment",29,16,"Rep","VPO","B","In the attic%2C Carl discovered an old photo of his grandmother.  It was ripped into several pieces%2C so Carl taped it together%2C and put it on a bookshelf in the family room.  That night%2C his cat found the photo and tore it to pieces with its claws.  Carl found the destroyed photo the next day."
1,19,"Female",NA,"Not applicable.",NA,NA,51,"experiment",0,21,"Rep","U","B","Melissa finally spotted a parking space.  It was near where some workers were doing road repairs.  As she was backing in%2C she knocked over an orange traffic cone.  As she climbed out of the car%2C she noticed the cone on the ground and set it back up.  After her appointment%2C she returned to her car to leave%2C and%2C as she was backing out of the parking spot%2C she knocked the cone down a second time.  Dutifully%2C she got out of her car and found the cone."
1,19,"Female",NA,"Not applicable.",NA,NA,55,"experiment",60,23,"Rep","VOP","B","It was time to clean the gutters on Amanda's house.  She got a ladder from the garage and put it up on the side of the house.  As Amanda was gathering her tools before climbing the ladder%2C her dog bumped the ladder%2C knocking it over.  Amanda cursed."
1,19,"Female",NA,"Not applicable.",NA,NA,15,"experiment",0,3,"Rep","U","B","Amy got a doll for her birthday.  The package contained a little purple hat%2C which Amy loved.  She immediately put it on the doll.    While she was asleep%2C her big brother found it and took off the doll's purple hat.  The next morning Amy found her doll not wearing its hat."
1,19,"Female",NA,"Not applicable.",NA,NA,14,"experiment",99,101.5,"Good","Filler","B","Lisa's girlfriend was coming over for dinner. Lisa knew she hated spicy food."
1,19,"Female",NA,"Not applicable.",NA,NA,42,"experiment",99,108.5,"Good","Filler","B","Tina and her boyfriend%2C Leo%2C went out for a drive in the country. After a while they found a country store and went in.  Tina bought some candy and a few apples."
1,19,"Female",NA,"Not applicable.",NA,NA,12,"experiment",14,101,"Bad","Filler","B","Detective Jackson narrowed the murder suspects to just four: Louis%2C Janet%2C Donald and Mitch.  The next day%2C Detective Jackson learned that Janet was not involved in the crime%2C since she was out of the state when the murder happened."
1,19,"Female",NA,"Not applicable.",NA,NA,56,"experiment",0,112,"Bad","Filler","B","Julie%2C a zoologist%2C explained that female baboons' chests get red when they are pregnant.  But other things can cause a reddened chest%2C too. "
1,19,"Female",NA,"Not applicable.",NA,NA,54,"experiment",19,111.5,"Good","Filler","B","Tony and Margaret were about to give their big presentation. Tony%2C who was more nervous than Margaret%2C was sweating and couldn't keep his hands still."
1,19,"Female",NA,"Not applicable.",NA,NA,13,"experiment",99,2,"Res","VOP","B","Edna bought a ceramic vase.  One day%2C Edna's puppy ran into the vase and broke off the handle. Fortunately%2C Edna had some glue. "
3,18,"Female",NA,"Not applicable.",NA,NA,16,"experiment",10,102,"Bad","Filler","E","Reggie's pet parrot died.  It was a beautiful bird%2C but died young."
3,18,"Female",NA,"Not applicable.",NA,NA,15,"experiment",0,3,"Res","U","E","Amy got a doll for her birthday.  The doll wore a purple hat which Amy loved. While she was asleep%2C her big brother found it and took off the doll's purple hat.  The next morning Amy found her doll not wearing its hat."
3,18,"Female",NA,"Not applicable.",NA,NA,28,"experiment",8,105,"Bad","Filler","E","Professor Kaur offered an extra help session every Wednesday at 4:00.  During the whole semester%2C not a single student ever showed up."
3,18,"Female",NA,"Not applicable.",NA,NA,11,"experiment",75,1,"Rep","VPO","E","Maria was playing ball on the sidewalk.  Her mischievous older brother%2C Alex%2C came by and knocked her down.  She then got up.  Soon%2C Alex came jogging around the corner a second time."
3,18,"Female",NA,"Not applicable.",NA,NA,14,"experiment",65,101.5,"Good","Filler","E","Lisa's girlfriend was coming over for dinner. Lisa knew she hated spicy food."
3,18,"Female",NA,"Not applicable.",NA,NA,27,"experiment",0,9,"Res","U","E","One day%2C a stray cat Gloria had never seen before began meowing outside her door.  Gloria's dad  opened the door and the cat walked in.  Gloria's dad soon decided that he didn't like the cat and sent it outside.  The next morning%2C Gloria discovered the cat back on their doorstep."
3,18,"Female",NA,"Not applicable.",NA,NA,10,"experiment",79,100.5,"Good","Filler","E","Manuel and his daughter Violet went out for dinner.  Manuel encourages his family not to eat meat."
3,18,"Female",NA,"Not applicable.",NA,NA,39,"experiment",0,15,"Res","U","E","Dr. Arroyo had just put the final touches on her new creation%2C a supercomputer.  The next day%2C the University President came to a ceremony at her lab%2C walked up to the computer and turned it on for the first time.  That night%2C however%2C the computer glitched and shut down.  Dr. Arroyo came to her lab the next morning and fixed the problem."
3,18,"Female",NA,"Not applicable.",NA,NA,12,"experiment",13,101,"Bad","Filler","E","Detective Jackson narrowed the murder suspects to just four: Louis%2C Janet%2C Donald and Mitch.  The next day%2C Detective Jackson learned that Janet was not involved in the crime%2C since she was out of the state when the murder happened."
3,18,"Female",NA,"Not applicable.",NA,NA,13,"experiment",71,2,"Rep","VOP","E","Edna bought a ceramic vase.  One day%2C Edna's puppy ran into the vase and broke off the handle. Edna glued it back on%2C but a week later her cat broke the handle. "
3,18,"Female",NA,"Not applicable.",NA,NA,38,"experiment",88,107.5,"Good","Filler","E","Sarah's surgery was scheduled for noon on Friday. The doctor told her not to eat on the day of the surgery.  Sarah did as he asked and didn't eat anything."
3,18,"Female",NA,"Not applicable.",NA,NA,19,"experiment",69,5,"Res","VOP","E","Tammy's dad bought a new blender.  Tammy%2C who loved mechanical things%2C discovered it and took it completely apart%2C to learn how it works. Fortunately%2C Tammy's dad found all the pieces."
3,18,"Female",NA,"Not applicable.",NA,NA,29,"experiment",62,10,"Res","VPO","E","Mandy bought a brand new bicycle that came with a bell on the handlebar.  One day%2C she parked her bike at the grocery store and went in to shop.  When she emerged%2C she found the bell on the ground next to her bike.  Someone had knocked it off.  Mandy rode home and got out her tools."
3,18,"Female",NA,"Not applicable.",NA,NA,17,"experiment",5,4,"Res","VPO","E","Gwen bought a container of strawberries at the store.  As she was unloading her groceries at home%2C the lid to the strawberries came open and the berries spilled out of the container onto Gwen's counter. "
3,18,"Female",NA,"Not applicable.",NA,NA,18,"experiment",31,102.5,"Good","Filler","E","It was Nancy's birthday%2C and Nancy's grandmother called to say she would come by to bring her a cake."
3,18,"Female",NA,"Not applicable.",NA,NA,47,"experiment",8,19,"Rep","VPO","E","In a tree in Dashaun's backyard%2C a pair of robins built a nest and the mother soon laid an egg%2C which hatched. One day%2C when the parents were away from the nest%2C the baby bird fell out of the nest.  Dashaun got a ladder from the garage%2C picked up the bird and carried it up to the nest.  The next day%2C Dashaun noticed that the bird had fallen out of the nest a second time."
3,18,"Female",NA,"Not applicable.",NA,NA,48,"experiment",79,110,"Bad","Filler","E","Lucy's two daughters normally like exactly the same foods.  But they differ when it comes to sushi%2C which Emily loves but Monica hates."
3,18,"Female",NA,"Not applicable.",NA,NA,49,"experiment",36,20,"Rep","VOP","E","Cameron was looking forward to the burrito he had just bought.  As he unwrapped it%2C one of the corners of the burrito came open and a piece of chicken stuck out.  He tucked it back in.  He picked up the burrito to dip it in some sauce%2C and the piece of chicken poked back out.  Cameron was annoyed."
3,18,"Female",NA,"Not applicable.",NA,NA,50,"experiment",68,110.5,"Good","Filler","E","When they were little%2C Sam and his brother thought that Burger King was a real person."
3,18,"Female",NA,"Not applicable.",NA,NA,51,"experiment",0,21,"Res","U","E","Melissa finally spotted a parking space.  It was near where some workers were doing road repairs.  As she was backing in%2C she knocked over an orange traffic cone.  As she climbed out of the car%2C she noticed the cone tipped over behind her car."
3,18,"Female",NA,"Not applicable.",NA,NA,52,"experiment",77,111,"Bad","Filler","E","Becky was an all star at calculus--the top student that all the other students came to for help. Fortunately for all the students%2C the midterm was much easier than everyone expected."
3,18,"Female",NA,"Not applicable.",NA,NA,53,"experiment",68,22,"Res","VPO","E","Denise%2C a pre-school teacher%2C was supervising children playing in the schoolyard.  Four-year-old Raquel tripped%2C fell down and began crying. Denise ran to her."
3,18,"Female",NA,"Not applicable.",NA,NA,54,"experiment",0,111.5,"Good","Filler","E","Tony and Margaret were about to give their big presentation. Tony%2C who was more nervous than Margaret%2C was sweating and couldn't keep his hands still."
3,18,"Female",NA,"Not applicable.",NA,NA,55,"experiment",78,23,"Res","VOP","E","It was time to clean the gutters on Amanda's house.  Her son got a ladder from the garage and put it up on the side of the house.  As Amanda was gathering her tools before climbing the ladder%2C her dog bumped the ladder%2C knocking it over.  Amanda cursed."
3,18,"Female",NA,"Not applicable.",NA,NA,56,"experiment",0,112,"Bad","Filler","E","Julie%2C a zoologist%2C explained that female baboons' chests get red when they are pregnant.  But other things can cause a reddened chest%2C too. "
3,18,"Female",NA,"Not applicable.",NA,NA,57,"experiment",0,24,"Rep","U","E","Sam and Alex decided to celebrate their anniversary with a bottle of wine and a picnic in the park.  Sam uncorked the bottle and served the wine.   When it was time to go%2C there was still wine in the bottle%2C so Sam put the cork back in and took the bottle home%2C where they had another glass of the wine.  At the end of the evening%2C they still had a bit of the wine left%2C which Sam decided to save."
3,18,"Female",NA,"Not applicable.",NA,NA,20,"experiment",0,103,"Bad","Filler","E","The week before the state test%2C each student in Ashley's class was assigned a different teacher to help them prepare. During the week%2C a snowstorm struck and many of the teachers had to stay home."
3,18,"Female",NA,"Not applicable.",NA,NA,21,"experiment",0,6,"Rep","U","E","Oscar made a stuffed animal for his kitten to play with%2C sewing together the outside and then putting in foam stuffing. The kitten was so rough with it that%2C by the next day%2C the kitten had pulled out all of the toy's stuffing.  Oscar discovered the empty outside cover."
3,18,"Female",NA,"Not applicable.",NA,NA,22,"experiment",92,103.5,"Good","Filler","E","It was a great New Year's Eve party. Kate%2C though%2C had several more drinks than she should have.  Mary felt bad for her."
3,18,"Female",NA,"Not applicable.",NA,NA,23,"experiment",13,7,"Rep","VPO","E","Marlon arrived at the swimming pool. As he was taking off his shoes%2C the neighborhood bully came by and pushed him in the pool.  He climbed back out%2C still in his shoes and shirt.  Just as got out though%2C the bully came by a second time. "
3,18,"Female",NA,"Not applicable.",NA,NA,24,"experiment",16,104,"Bad","Filler","E","It was Christmastime and Deirdre's mom had just baked her special fruitcake.  All of Deirdre's sisters absolutely love fruitcake. "
3,18,"Female",NA,"Not applicable.",NA,NA,25,"experiment",64,8,"Rep","VOP","E","Carol bought a Christmas tree and put it up in her living room.  That night%2C Carol's cat bumped into the tree and knocked it down.  Carol found it on the floor the next day."
3,18,"Female",NA,"Not applicable.",NA,NA,26,"experiment",67,104.5,"Good","Filler","E","Aria's brother wanted her to hear a new rap album just out.  He played for her the first four tracks before she stopped him%2C because she had to go to work."
3,18,"Female",NA,"Not applicable.",NA,NA,42,"experiment",78,108.5,"Good","Filler","E","Tina and her boyfriend%2C Leo%2C went out for a drive in the country. After a while they found a country store and went in.  Tina bought some candy and a few apples."
3,18,"Female",NA,"Not applicable.",NA,NA,30,"experiment",75,105.5,"Good","Filler","E","Doug and his friends believed that it was Marvin who had told the teacher that they cheated on the test.  Later they found out that Marvin hadn't done it."
3,18,"Female",NA,"Not applicable.",NA,NA,40,"experiment",83,108,"Bad","Filler","E","Sally%2C a high school student%2C was applying for a summer internship. She asked all of her teachers to write her a recommendation letter.  Some said they would love to%2C but others refused."
3,18,"Female",NA,"Not applicable.",NA,NA,41,"experiment",33,16,"Res","VPO","E","In the attic%2C Carl discovered an old photo of his grandmother.  He put it on a bookshelf in the family room.  That night%2C his cat found the photo and tore it to pieces with its claws.  Carl found the destroyed photo the next day."
3,18,"Female",NA,"Not applicable.",NA,NA,33,"experiment",0,12,"Rep","U","E","Martha bought a jar of Nutella.  She opened%2C it and had a spoonful.  She found the lid and put it back on. That afternoon%2C her brother found it and ate half the jar%2C leaving the lid on the counter.  Martha was furious."
3,18,"Female",NA,"Not applicable.",NA,NA,34,"experiment",87,106.5,"Good","Filler","E","Chemistry was easy for Jenna who usually got good grades without studying.  On her last quiz%2C however%2C Jenna struggled and received a D."
3,18,"Female",NA,"Not applicable.",NA,NA,31,"experiment",0,11,"Res","VOP","E","Doug took his canoe out for a trip around his favorite lake.   All of a sudden%2C a young duck crash landed inside his canoe%2C having apparently just gotten tangled in a power line above.  The duck%2C dazed and injured%2C stumbled on the edge of the canoe and then fell into the water.  Doug decided to take the duck to the park ranger station."
3,18,"Female",NA,"Not applicable.",NA,NA,32,"experiment",0,106,"Bad","Filler","E","When she turned 14%2C Gwen began listening to rap and has loved it ever since."
3,18,"Female",NA,"Not applicable.",NA,NA,37,"experiment",0,14,"Rep","VOP","E","Mr. Avery decided to create a little pond in his backyard next to his flower garden.  He spent the afternoon digging a 4-foot wide basin%2C and filled it up with a garden hose.   Soon%2C a long heat wave dried up the little pond.  Mr. Avery got out the garden hose."
3,18,"Female",NA,"Not applicable.",NA,NA,46,"experiment",0,109.5,"Good","Filler","E","Liam and his friend Nate each have two older sisters.  Liam's sisters are nice and get along well with each other and with Liam."
3,18,"Female",NA,"Not applicable.",NA,NA,35,"experiment",0,13,"Rep","VPO","E","Soon after the start of Ellen's soccer game%2C she received a pass on the right side and brought the ball down the field.  Just then%2C an opposing player put a shoulder into Ellen%2C knocking her down and causing her to lose the ball.  She got up to recover the ball%2C but the same player put a shoulder into her a second time."
3,18,"Female",NA,"Not applicable.",NA,NA,36,"experiment",79,107,"Bad","Filler","E","Throughout high school Dennis secretly loved his friend%2C Tammy%2C who had never loved him in return%2C and never would.  One day%2C Tammy told him she was dating Jasper."
3,18,"Female",NA,"Not applicable.",NA,NA,45,"experiment",0,18,"Rep","U","E","It was the first day of fall exam week at Kennedy High School.  Principal Chen printed a sign  asking students to please be as quiet as possible in the halls.  He taped it up on the front door. As he left for lunch that day%2C he found the sign ripped down%2C lying on the front steps."
3,18,"Female",NA,"Not applicable.",NA,NA,43,"experiment",90,17,"Res","VOP","E","While Charlotte was fishing with her dad%2C she caught a plump%2C 11-inch bass.  Her dad put it in a bucket on the dock.  Suddenly the fish jumped out of the bucket%2C landing on the dock.  Charlotte picked it up and walked over to the bucket."
3,18,"Female",NA,"Not applicable.",NA,NA,44,"experiment",1,109,"Bad","Filler","E","Lenny was excited to watch the basketball championship game and invited his friends over.  Everyone had work to do%2C though%2C and none of his friends could make it."
4,21,"Male",NA,"Not applicable.",NA,NA,52,"experiment",99,111,"Bad","Filler","A","Becky was an all star at calculus--the top student that all the other students came to for help. Fortunately for all the students%2C the midterm was much easier than everyone expected."
4,21,"Male",NA,"Not applicable.",NA,NA,51,"experiment",99,21,"Rep","VPO","A","Melissa finally spotted a parking space.  It was near where some workers were doing road repairs.  As she was backing in%2C she knocked over an orange traffic cone.  As she climbed out of the car%2C she noticed the cone on the ground and set it back up.  After her appointment%2C she returned to her car to leave%2C and%2C as she was backing out of the parking spot%2C she knocked the cone down a second time.  Dutifully%2C she got out of her car and found the cone."
4,21,"Male",NA,"Not applicable.",NA,NA,23,"experiment",99,7,"Res","VOP","A","Marlon arrived at the swimming pool. As he was taking off his shoes%2C he lost his balance and fell in the pool.  He climbed back out%2C still in his shoes and shirt.  Just as he got out%2C though%2C the neighborhood bully came by."
4,21,"Male",NA,"Not applicable.",NA,NA,24,"experiment",0,104,"Bad","Filler","A","It was Christmastime and Deirdre's mom had just baked her special fruitcake.  All of Deirdre's sisters absolutely love fruitcake. "
4,21,"Male",NA,"Not applicable.",NA,NA,53,"experiment",99,22,"Rep","VOP","A","Denise%2C a pre-school teacher%2C was supervising children playing in the schoolyard.  Four-year-old Raquel tripped%2C fell down and began crying. Denise ran to her and picked her up.  Not two minutes later%2C Raquel was knocked over by a bigger boy and began crying again.  Denise went back over to her."
4,21,"Male",NA,"Not applicable.",NA,NA,54,"experiment",7,111.5,"Good","Filler","A","Tony and Margaret were about to give their big presentation. Tony%2C who was more nervous than Margaret%2C was sweating and couldn't keep his hands still."
4,21,"Male",NA,"Not applicable.",NA,NA,55,"experiment",0,23,"Res","U","A","It was time to clean the gutters on Amanda's house.  Her son got a ladder from the garage and put it up on the side of the house.  As Amanda was gathering her tools before climbing the ladder%2C her dog bumped the ladder%2C knocking it over.  Amanda cursed."
4,21,"Male",NA,"Not applicable.",NA,NA,33,"experiment",72,12,"Res","VPO","A","Martha bought a jar of Nutella.  That afternoon%2C her brother opened it and ate half the jar%2C leaving the lid on the counter.  Martha was furious."
4,21,"Male",NA,"Not applicable.",NA,NA,34,"experiment",99,106.5,"Good","Filler","A","Chemistry was easy for Jenna who usually got good grades without studying.  On her last quiz%2C however%2C Jenna struggled and received a D."
4,21,"Male",NA,"Not applicable.",NA,NA,35,"experiment",62,13,"Res","VOP","A","Soon after the start of Ellen's soccer game%2C she received a pass on the right side and brought the ball down the field.  Suddenly she tripped%2C and fell flat on her face%2C losing the ball.  She got up to recover the ball%2C but just then an opposing player put a shoulder into her."
4,21,"Male",NA,"Not applicable.",NA,NA,36,"experiment",49,107,"Bad","Filler","A","Throughout high school Dennis secretly loved his friend%2C Tammy%2C who had never loved him in return%2C and never would.  One day%2C Tammy told him she was dating Jasper."
4,21,"Male",NA,"Not applicable.",NA,NA,37,"experiment",0,14,"Rep","U","A","Mr. Avery decided to create a little pond in his backyard next to his flower garden.  He spent the afternoon digging a 4-foot wide basin%2C and filled it up with a garden hose.   Soon%2C a long heat wave dried up the little pond.  Mr. Avery got out the garden hose."
4,21,"Male",NA,"Not applicable.",NA,NA,38,"experiment",99,107.5,"Good","Filler","A","Sarah's surgery was scheduled for noon on Friday. The doctor told her not to eat on the day of the surgery.  Sarah did as he asked and didn't eat anything."
4,21,"Male",NA,"Not applicable.",NA,NA,39,"experiment",83,15,"Rep","VPO","A","Dr. Arroyo had just put the final touches on her new creation%2C a supercomputer.  The next day%2C in a ceremony at her lab%2C Dr Arroyo walked up to the computer and turned it on for the first time.  That night%2C however%2C the computer glitched and shut down.  Dr. Arroyo came to her lab the next morning and fixed the problem."
4,21,"Male",NA,"Not applicable.",NA,NA,40,"experiment",99,108,"Bad","Filler","A","Sally%2C a high school student%2C was applying for a summer internship. She asked all of her teachers to write her a recommendation letter.  Some said they would love to%2C but others refused."
4,21,"Male",NA,"Not applicable.",NA,NA,41,"experiment",99,16,"Rep","VOP","A","In the attic%2C Carl discovered an old photo of his grandmother.  It was ripped into several pieces%2C so Carl taped it together%2C and put it on a bookshelf in the family room.  That night%2C his cat found the photo and tore it to pieces with its claws.  Carl found the destroyed photo the next day."
4,21,"Male",NA,"Not applicable.",NA,NA,42,"experiment",99,108.5,"Good","Filler","A","Tina and her boyfriend%2C Leo%2C went out for a drive in the country. After a while they found a country store and went in.  Tina bought some candy and a few apples."
4,21,"Male",NA,"Not applicable.",NA,NA,43,"experiment",0,17,"Res","U","A","While Charlotte was fishing with her dad%2C she caught a plump%2C 11-inch bass.  Her dad put it in a bucket on the dock.  Suddenly the fish jumped out of the bucket%2C landing on the dock.  Charlotte picked it up and walked over to the bucket."
